Name,Centroid X µm,Centroid Y µm,Outcome
A-1,3524.9,1252,
A-2,5361.1,1089.5,0
A-3,6826.2,1321.5,0
A-4,8395.6,949.08,0
A-5,9806,1254.9,
A-6,11136.8,1148.6,1
A-7,12660,1173.6,1
A-8,14083.4,1473.3,1
A-9,15456.7,1673,
A-10,16805.1,2122.5,0
B-1,4118.5,2796.7,
B-2,5343.7,2621.9,0
B-3,6841.9,2721.8,0
B-4,8223.9,2713.3,0
B-5,9763.5,2696.8,
B-6,11043.4,2715.3,1
B-7,12535.2,2721.8,1
B-8,13983.5,2971.5,1
B-9,15506.7,3096.3,
B-10,16730.2,3495.9,0
C-1,3995.3,3995.3,
C-2,5293.7,4170.1,0
C-3,6717.1,4095.2,0
C-4,8190.3,4120.1,0
C-5,9538.7,4120.1,
C-6,10987,4245,1
C-7,12485.2,4195,1
C-8,14111.7,4419,1
C-9,15431.8,4419.8,
C-10,16726.8,4818.5,1
D-1,3795.5,5568.4,
D-2,5168.9,5493.5,0
D-3,6574.9,5496.6,0
D-4,7990.6,5693.3,0
D-5,9563.7,5668.3,
D-6,10962,5793.2,1
D-7,12435.3,5693.3,1
D-8,13953.6,6058.7,1
D-9,15531.6,6042.9,
D-10,16880.1,6267.6,0
E-1,3770.5,7141.6,
E-2,5218.8,7041.7,0
E-3,6710.2,7219.2,0
E-4,8190.3,7141.6,0
E-5,9638.6,7266.4,
E-6,10962,7266.4,
E-7,12413.8,7449.6,
E-8,13983.5,7466.2,
E-9,15306.9,7715.9,
E-10,16730.2,7690.9,1
F-1,3670.7,8539.9,
F-2,5143.9,8614.8,0
F-3,6617.2,8589.8,0
F-4,8115.4,8739.7,0
F-5,9538.7,8689.7,
F-6,10887.1,8889.5,1
F-7,12360.4,8864.5,1
F-8,13808.7,9039.3,1
F-9,15331.9,9089.3,
F-10,16580.4,9239.1,1
G-1,3695.6,10063.1,
G-2,5119,10013.2,0
G-3,6592.2,10138,0
G-4,8140.4,10163,0
G-5,9588.7,10262.9,
G-6,10962,10287.8,
G-7,12335.4,10462.6,
G-8,13833.7,10462.6,
G-9,15228.9,10558.8,
G-10,16580.4,10537.5,1
H-1,3695.6,11436.5,
H-2,5143.9,11561.3,0
H-3,6617.2,11511.4,0
H-4,8090.4,11761.1,0
H-5,9488.8,11586.3,
H-6,10887.1,11886,1
H-7,12285.5,11886,1
H-8,13683.8,11985.8,1
H-9,15157.1,11960.9,
H-10,16530.5,12160.6,1
I-1,3829.1,12959.7,
I-2,5243.8,12984.7,0
I-3,6742,13134.5,0
I-4,8190.3,13109.5,0
I-5,9488.8,13159.4,
I-6,10909.1,13255.3,1
I-7,12290.9,13411.9,1
I-8,13633.9,13384.2,1
I-9,15057.2,13559,
I-10,16584.8,13527,
J-1,3720.6,14383,
J-2,5168.9,14532.8,1
J-3,6667.1,14557.8,1
J-4,8115.4,14657.7,1
J-5,9463.8,14632.7,
J-6,10787.3,14757.6,1
J-7,12275.7,14762.7,1
J-8,13633.9,14757.6,1
J-9,14947.3,14902.2,
J-10,16471.2,15067.8,
K-1,3745.6,15881.2,
K-2,5087.5,16046.8,1
K-3,6617.2,16031.1,1
K-4,8015.5,16141.1,1
K-5,9488.8,16180.9,
K-6,10774.3,16361.1,0
K-7,12260.5,16280.8,0
K-8,13633.9,16480.5,0
K-9,15082.2,16330.7,
K-10,16364.1,16425.1,
L-1,3795.5,17454.4,
L-2,5193.9,17641,1
L-3,6617.2,17699.5,1
L-4,8068.9,17600.7,1
L-5,9388.9,17853.9,
L-6,10712.3,17828.9,1
L-7,12110.7,17953.8,1
L-8,13509,17853.9,1
L-9,14832.5,17853.9,
L-10,16205.8,17928.8,
