"","TMA.core","CK20","CK5-6","Range"
"69","I-6",0.0999914473752,0.0999628796976,2.85676775999971e-05
"70","I-7",0.0890739981452,0.0955757624724,0.0065017643272
"79","J-7",0.0933067138748,0.0937129272876,0.000406213412800005
"81","K-10",0.1058821395972,0.108208632724,0.0023264931268
"80","J-9",0.1686939500488,0.19369648042,0.0250025303712
"48","F-9",0.1742773027032,0.1730953511128,0.00118195159039999
"49","G-1",0.1624578692456,0.1656973325828,0.00323946333720002
"42","F-2",0.0911716406772,0.0958434865448,0.0046718458676
"9","B-10",0.1392931721884,0.1369307324312,0.00236243975720002
"37","E-6",0.125065211436,0.1219828084908,0.0030824029452
"61","H-7",0.165232169994,0.1671598080492,0.00192763805519999
"12","B-4",0.167314869116,0.168548988666,0.00123411955
"40","F-1",0.1896848859352,0.2019874140736,0.0123025281384
"10","B-2",0.1522220456276,0.1547507179388,0.00252867231119999
"19","C-5",0.2061822044592,0.209435395122,0.0032531906628
"8","A-9",0.2085585364348,0.212268665658,0.00371012922320002
"11","B-3",0.1464081316156,0.1451625314044,0.00124560021120002
"22","C-8",0.241249605838,0.2432223832972,0.00197277745919999
"71","I-8",0.2137482487524,0.2049234334356,0.00882481531680002
"30","D-9",0.2301347799264,0.2321645072364,0.00202972731000001
"4","A-5",0.1968848269892,0.2083387137208,0.0114538867316
"50","G-10",0.1968612267072,0.1982703799644,0.00140915325720001
"38","E-8",0.2159681592956,0.2072593460636,0.00870881323200001
"90","L-10",0.1685616235768,0.1622535464548,0.00630807712199999
"20","C-6",0.165224234528,0.1888128503624,0.0235886158344
"78","J-5",0.1754123216804,0.1948190087676,0.0194066870872
"41","F-10",0.1888558667716,0.1889497526096,9.38858380000185e-05
"91","L-2",0.148621075438,0.1547112261132,0.00609015067520002
"7","A-8",0.2172541788544,0.21318114119,0.00407303766439998
"43","F-3",0.20189835135,0.219696158776,0.017797807426
"88","K-8",0.1961361930656,0.1927249320424,0.00341126102320002
"54","G-7",0.2117183153264,0.2143535083864,0.00263519305999999
"24","D-2",0.2352043884508,0.2283489702908,0.00685541815999999
"86","K-6",0.2040396492508,0.2046994471784,0.000659797927599987
"68","I-4",0.2303608273436,0.2234267965412,0.00693403080239999
"29","D-8",0.1873444593668,0.198332132318,0.0109876729512
"72","I-9",0.2108436208572,0.2138878717308,0.00304425087360002
"74","J-10",0.2284906750408,0.2293042355044,0.000813560463599983
"84","K-4",0.2143186129476,0.22629578698,0.0119771740324
"87","K-7",0.19028835236,0.1830594313964,0.00722892096360001
"25","D-3",0.2404833489964,0.2404929952252,9.64622880000876e-06
"64","I-1",0.2324951173004,0.231482077772,0.00101303952840001
"93","L-4",0.2068608826124,0.2048351127296,0.00202576988279998
"55","G-8",0.214310862986,0.2153712679712,0.00106040498519999
"89","K-9",0.2140498376836,0.2137139922732,0.000335845410399993
"60","H-6",0.2436100874932,0.2345379741996,0.0090721132936
"59","H-5",0.2360781966212,0.2320962828404,0.00398191378080001
"95","L-7",0.244766563146,0.2435391629776,0.00122740016840001
"73","J-1",0.236913131314,0.2411276676124,0.00421453629840002
"53","G-4",0.2368293039368,0.2410414905128,0.004212186576
"52","G-3",0.224304912536,0.2241100916928,0.000194820843199994
"31","E-1",0.2421756438028,0.2428138613852,0.000638217582400014
"96","L-8",0.238334713366,0.2362828079744,0.00205190539160002
"2","A-3",0.2230148943268,0.2202698414388,0.002745052888
"33","E-2",0.2095787900232,0.2470668589292,0.037488068906
"85","K-5",0.224583890542,0.225226869404,0.000642978861999988
"13","B-6",0.2464167690652,0.245168592404,0.0012481766612
"63","H-9",0.25219271651,0.2512142014116,0.000978515098400023
"82","K-2",0.2175443489592,0.2199129515848,0.00236860262560001
"15","B-8",0.266970100072,0.2658483343536,0.0011217657184
"23","D-1",0.2557118174244,0.2542840106692,0.00142780675520005
"94","L-6",0.2515351652468,0.2503610872876,0.00117407795919999
"34","E-3",0.2489519340304,0.2628872306744,0.013935296644
"66","I-2",0.2447587513496,0.2420233446904,0.00273540665920002
"67","I-3",0.256680480178,0.2503621178676,0.00631836231040001
"14","B-7",0.2622072333788,0.2614902588728,0.000716974506000001
"1","A-2",0.2292800993208,0.2288951364676,0.000384962853199999
"77","J-4",0.2555990513608,0.2536785243076,0.00192052705320001
"3","A-4",0.2818785115752,0.2818665362356,1.19753396000122e-05
"92","L-3",0.2631857690888,0.2604654501208,0.00272031896799996
"51","G-2",0.259119656922,0.2620252123392,0.0029055554172
"32","E-10",0.2565255427808,0.2660590879636,0.00953354518280003
"46","F-7",0.2572681375056,0.2539651492172,0.00330298828840003
"56","H-1",0.266466043394,0.2639835616784,0.0024824817156
"58","H-4",0.2691271864584,0.262161207676,0.00696597878240002
"36","E-5",0.26686662984,0.2632302076984,0.00363642214159998
"76","J-3",0.2541631236352,0.2524338103952,0.00172931323999997
"83","K-3",0.252672760674,0.2574264345936,0.00475367391959997
"39","E-9",0.2659684381468,0.2671946428424,0.00122620469560003
"45","F-6",0.2635363517932,0.2642184102488,0.000682058455599988
"62","H-8",0.2714755278812,0.2679582407876,0.0035172870936
"26","D-4",0.2732251229356,0.2754176406624,0.00219251772680001
"75","J-2",0.2631799153944,0.2618601958696,0.00131971952479998
"17","C-3",0.2757209197448,0.2779870827184,0.00226616297359999
"21","C-7",0.2709517665136,0.2711079612184,0.000156194704799995
"65","I-10",0.2789319802972,0.2803089588468,0.00137697854960001
"16","C-2",0.2720006290028,0.2759578706984,0.00395724169560002
"27","D-5",0.2747130331164,0.2767835507828,0.00207051766639998
"35","E-4",0.2753142528768,0.2791173816392,0.00380312876240002
"28","D-6",0.2718086937836,0.2737226045132,0.00191391072960001
"47","F-8",0.2710503311848,0.2700311081764,0.00101922300839996
"5","A-6",0.2813155263328,0.2812223412892,9.31850436000081e-05
"57","H-3",0.2809314497784,0.2770609623072,0.0038704874712
"18","C-4",0.2817408054756,0.2818736678492,0.000132862373599996
"6","A-7",0.2813683744752,0.2812959247012,7.24497740000052e-05
"44","F-4",0.2801396551644,0.2816536390192,0.00151398385480001
