"","TMA.core","P53","Ki67","Cyclin","CV","Mean"
"69","I-6",0.0868983407072,0.0888034708952,0.086288608356,0.0150218238583621,0.0873301399861333
"70","I-7",0.1096266695808,0.1184426837444,0.116271272296,0.040017819994351,0.1147802085404
"79","J-7",0.162453004908,0.167852522702,0.1675515727304,0.0182839799090193,0.165952366780133
"81","K-10",0.1517467421316,0.1657732451056,0.151324802068,0.0526147411611884,0.156281596435067
"80","J-9",0.0824882621596,0.0787219044916,0.0734795089244,0.0578357589487424,0.0782298918585333
"48","F-9",0.10205782211,0.103652747718,0.0917961103224,0.0648855143703489,0.0991688933834667
"49","G-1",0.1260113457108,0.1469739818704,0.115550278528,0.123553475080532,0.129511868703067
"42","F-2",0.1998914204696,0.2105974977416,0.2080937448548,0.0271593648672293,0.206194221022
"9","B-10",0.1770401846252,0.176644297624,0.1786467763988,0.00597646355340877,0.177443752882667
"37","E-6",0.1958363561204,0.2038618535892,0.1961132729664,0.0229385742555084,0.198603827558667
"61","H-7",0.1477058585632,0.1542669430752,0.149695764262,0.0223445174817446,0.150556188633467
"12","B-4",0.1622632957416,0.1690680505888,0.1660599730732,0.0205672153344212,0.165797106467867
"40","F-1",0.1302011274776,0.140946552294,0.1127016111268,0.111422050572278,0.1279497636328
"10","B-2",0.1823979639292,0.2081647312052,0.1949732041472,0.0660144593299629,0.195178633093867
"19","C-5",0.116009711092,0.1125906176608,0.1037205392704,0.0572597784740912,0.1107736226744
"8","A-9",0.1131698654556,0.0942118929004,0.0765821730724,0.193311847575152,0.0946546438094667
"11","B-3",0.2067629362892,0.216098816228,0.2076800288196,0.0244827665238812,0.210180593778933
"22","C-8",0.09551157795,0.0891843114284,0.0805788035356,0.0847645484376013,0.088424897638
"71","I-8",0.140845555454,0.1452362178744,0.139732838228,0.0205007991346547,0.141938203852133
"30","D-9",0.1344847744708,0.1240547689692,0.1076832018168,0.110671206722415,0.122074248418933
"4","A-5",0.192953844472,0.185937552774,0.1509186711016,0.12750909398698,0.176603356115867
"50","G-10",0.183472405414,0.1925535878116,0.185452561826,0.0255139014780313,0.187159518350533
"38","E-8",0.160289302198,0.1569771417476,0.1495356945764,0.0353941370773058,0.155600712840667
"90","L-10",0.2052255994916,0.2474113199884,0.206662619632,0.108987871496137,0.219766513037333
"20","C-6",0.2159147752516,0.2110769647808,0.2069657956564,0.0211973374232386,0.211319178562933
"78","J-5",0.2220670492892,0.2189561817244,0.2124964032264,0.0224109530096295,0.21783987808
"41","F-10",0.2049866286012,0.2058787810956,0.1957576610316,0.0277124581649295,0.2022076902428
"91","L-2",0.2608117043892,0.2663595226452,0.2681657377648,0.0144556586612546,0.265112321599733
"7","A-8",0.189138946486,0.1854947331596,0.1791611388768,0.0273510120973703,0.1845982728408
"43","F-3",0.1945226551828,0.1949511703468,0.1830449414416,0.0353897336256791,0.1908395889904
"88","K-8",0.2158637615416,0.219005773234,0.218070109652,0.00741229991065067,0.217646548142533
"54","G-7",0.2040348261364,0.213310582038,0.2092540336536,0.0222630573759938,0.208866480609333
"24","D-2",0.1833146854508,0.1571748069916,0.1644746112476,0.080131397932448,0.168321367896667
"86","K-6",0.2223317846796,0.2237685162576,0.2229272538036,0.00323691348913346,0.2230091849136
"68","I-4",0.1964275380316,0.2017499890532,0.1997601451892,0.0134929131862776,0.199312557424667
"29","D-8",0.2347856637968,0.2373478711812,0.23194078893,0.0115248014750224,0.234691441302667
"72","I-9",0.2223538803148,0.2317776687276,0.2243207422448,0.0219821749605815,0.2261507637624
"74","J-10",0.2251386929792,0.214240371314,0.207924770958,0.0403583390768054,0.215767945083733
"84","K-4",0.2183147281208,0.2348715935572,0.2233112685232,0.0376609309601003,0.225499196733733
"87","K-7",0.257526071068,0.2628217682328,0.260763122848,0.0102531305134611,0.260370320716267
"25","D-3",0.202742705544,0.211895286524,0.2103828279276,0.0235492974835461,0.208340273331867
"64","I-1",0.2257655741816,0.2378890493508,0.23382159743,0.0265390576837637,0.232492073654133
"93","L-4",0.2445038476924,0.2501192307732,0.2497460371436,0.012654450418436,0.2481230385364
"55","G-8",0.2342649735576,0.2405114838304,0.2354709170504,0.0139963388532579,0.2367491248128
"89","K-9",0.2381566703652,0.2548662677576,0.2436026879288,0.0347065556585972,0.245541875350533
"60","H-6",0.2020371086412,0.2194725847508,0.2127050338416,0.0415796773013787,0.211404909077867
"59","H-5",0.2248623944812,0.2369920943536,0.2332743800616,0.0268197703285653,0.231709622965467
"95","L-7",0.2182281181776,0.2189787926496,0.2166697163248,0.00540399401650828,0.217958875717333
"73","J-1",0.2337178798588,0.2362567343004,0.2336733794144,0.00630495024847641,0.2345493311912
"53","G-4",0.231242467922,0.2460787388252,0.2361161013536,0.0317990177210743,0.2378124360336
"52","G-3",0.2507896024516,0.2536798228384,0.2547540788188,0.00810190287957748,0.2530745013696
"31","E-1",0.2487679136656,0.2517003878324,0.2494024005484,0.00617255209884431,0.249956900682133
"96","L-8",0.2396625332496,0.2427978873952,0.2432867945472,0.00812921591745677,0.241915738397333
"2","A-3",0.2520613587832,0.259016495864,0.2548570955956,0.0137078674135498,0.255311650080933
"33","E-2",0.2428881868148,0.2647325459992,0.2531761783924,0.0430929002799678,0.253598970402133
"85","K-5",0.2571339147664,0.2702787977736,0.2541690391644,0.0329110020589506,0.260527250568133
"13","B-6",0.2326851150292,0.2410611539792,0.244984530816,0.0262237358234003,0.2395769332748
"63","H-9",0.2356064177088,0.2413462124072,0.2357009425064,0.0138367012681282,0.237551190874133
"82","K-2",0.2761520113588,0.2778093488916,0.2766348999236,0.00307866910080785,0.276865420058
"15","B-8",0.218162552678,0.2207860795724,0.2192434662052,0.00600972146010679,0.219397366151867
"23","D-1",0.2345766415612,0.224040465708,0.2190534478648,0.0350842168703862,0.225890185044667
"94","L-6",0.2432255780952,0.2454336369684,0.2453939596384,0.00516389816132025,0.244684391567333
"34","E-3",0.2403949252324,0.2619077674424,0.2488031182784,0.0433022524975599,0.250368603651067
"66","I-2",0.250093631166,0.2534985438164,0.2520923792412,0.00679263215917177,0.251894851407867
"67","I-3",0.2392294216988,0.2449119985956,0.2458036770232,0.014656806059783,0.2433150324392
"14","B-7",0.239176800284,0.241734596786,0.2427172342044,0.00757716264097627,0.241209543758133
"1","A-2",0.272515032704,0.2724372445256,0.2715059506028,0.00206313196430629,0.2721527426108
"77","J-4",0.2511710407212,0.256583811774,0.2581709668088,0.0143750018467902,0.255308606434667
"3","A-4",0.2178082804972,0.225789359968,0.224952529008,0.0196827784411806,0.222850056491067
"92","L-3",0.2409927028556,0.2474633024436,0.2471378865028,0.0148675613586122,0.245197963934
"51","G-2",0.2454394700512,0.2487166938396,0.2467405773012,0.00668172942242164,0.246965580397333
"32","E-10",0.2531121587628,0.2625236214388,0.2593039658492,0.018517475655544,0.2583132486836
"46","F-7",0.2645728267108,0.2494609787156,0.2675551191148,0.0372358026322328,0.260529641513733
"56","H-1",0.2442567764432,0.2518875411604,0.2486156557764,0.0154207966573768,0.24825332446
"58","H-4",0.2547344565756,0.263548265298,0.25988290447,0.0170695740773899,0.259388542114533
"36","E-5",0.2438492026648,0.2561703843012,0.2524960574272,0.0252178671153658,0.250838548131067
"76","J-3",0.2646927656112,0.2694573636788,0.2712087313308,0.0125612457214226,0.268452953540267
"83","K-3",0.26361257349,0.2626684179288,0.2620617154828,0.00297405156443861,0.262780902300533
"39","E-9",0.2474799566164,0.25570493315,0.2547282112608,0.0177857648214195,0.2526377003424
"45","F-6",0.2537307953252,0.2630118277964,0.2616867492556,0.0193458942637916,0.259476457459067
"62","H-8",0.248233125092,0.2573793989224,0.2497075965096,0.0195041148144536,0.251773373508
"26","D-4",0.2455115900396,0.2620290460968,0.2524944291108,0.0327281540969464,0.253345021749067
"75","J-2",0.2659199184404,0.2709303510612,0.2694824067728,0.00959347421214933,0.268777558758133
"17","C-3",0.2537478823416,0.2505887836328,0.2434046104528,0.0212662801868939,0.2492470921424
"21","C-7",0.251997009368,0.2618066057096,0.2599584253724,0.0202101453671144,0.25792068015
"65","I-10",0.2748682384644,0.2721332646488,0.2728170750904,0.00520840151242343,0.2732728594012
"16","C-2",0.2598202245944,0.2652380867124,0.2630666340408,0.0103789886684319,0.262708315115867
"27","D-5",0.2549106445324,0.2627683841888,0.2636119963652,0.0184263169740439,0.260430341695467
"35","E-4",0.2643727499096,0.2682810596668,0.2680769842152,0.00824217023071859,0.2669102645972
"28","D-6",0.2707180721928,0.278133548748,0.2726663836828,0.0140387809242635,0.273839334874533
"47","F-8",0.2743804443388,0.278807238894,0.2752656713356,0.00848254551912841,0.276151118189467
"5","A-6",0.262402981744,0.2551923432696,0.2535042944528,0.0183880324252608,0.2570332064888
"57","H-3",0.2723402669476,0.2800254669004,0.2765770843856,0.0139310017748295,0.276314272744533
"18","C-4",0.2687323300372,0.274648848594,0.2757157462332,0.0137782402948524,0.273032308288133
"6","A-7",0.2777899327644,0.2793075442608,0.2772905755312,0.00377683806530038,0.278129350852133
"44","F-4",0.280492340252,0.2813782680432,0.2809999421252,0.00158221138980565,0.280956850140133
